Paper ID,Citation Paper ID
3288,369
3288,416
3288,455
3288,464
3288,563
3288,566
3288,661
3288,679
3288,761
3288,804
3288,1003
3288,1028
3288,1035
3288,1102
3288,1106
3288,1113
3288,1221
3288,1243
3288,1266
3288,1402
3288,1444
3288,1478
3288,1549
3288,1586
3288,1592
3288,1607
3288,1614
3288,1681
3288,1684
3288,1693
3288,1713
3288,1733
3288,1809
3288,1854
3288,1959
3288,1973
3288,2102
3288,2278
3288,2360
3288,2389
3288,2455
3288,2483
3288,2494
3288,2530
3288,2582
3288,2646
3288,2655
3288,2685
3288,2706
3288,2833
3288,2841
3288,2876
3288,2900
3288,3017
3288,3023
3288,3078
3288,3096
3288,3137
3288,3227
3288,3320
3288,3348
3288,3349
3288,3360
3288,3365
3288,3454
3288,3491
3288,3520
3288,3524
1303,14
1303,95
1303,101
1303,104
1303,239
1303,394
1303,404
1303,408
1303,412
1303,434
1303,496
1303,507
1303,554
1303,555
1303,559
1303,568
1303,603
1303,622
1303,690
1303,733
1303,785
1303,867
1303,911
1303,918
1303,925
1303,968
1303,1057
1303,1142
1303,1162
1303,1166
1303,1231
1303,1248
1303,1312
1303,1324
1303,1329
1303,1334
1303,1347
1303,1408
1303,1456
1303,1478
1303,1541
1303,1681
1303,1699
1303,1739
1303,1821
1303,1867
1303,1893
1303,2116
1303,2132
1303,2159
1303,2169
1303,2214
1303,2235
1303,2237
1303,2247
1303,2444
1303,2464
1303,2491
1303,2558
1303,2582
1303,2648
1303,2734
1303,3162
1303,3167
1303,3314
1303,3335
1303,3363
1303,3484
1303,3539
1303,3548
5,355
5,1825
5,2389
5,2455
11,1866
12,269
12,1069
17,421
17,1522
20,201
20,1505
28,3024
29,2981
48,148
48,357
48,395
48,419
48,472
48,530
48,671
48,746
48,1029
48,1132
48,1223
48,1343
48,1892
48,2306
48,2429
48,2462
48,2684
48,2930
48,3024
48,3374
51,449
66,1181
67,126
69,152
69,1169
69,2227
77,1
77,229
77,438
77,801
77,1237
77,1742
77,2389
77,2952
83,19
83,84
83,278
83,957
83,1069
83,1691
86,259
87,922
101,2275
121,2631
130,307
132,549
132,2961
133,1131
142,1842
161,2846
162,995
162,3024
179,2566
187,247
195,35
195,85
195,582
201,555
201,657
201,956
201,1413
201,1867
201,2044
201,2456
201,2743
201,2938
204,36
204,104
204,205
204,404
204,546
204,584
204,648
204,707
204,715
204,785
204,800
204,926
204,1042
204,1087
204,1119
204,1199
204,1248
204,1280
204,1406
204,1408
204,1478
204,1738
204,1866
204,2176
204,2202
204,2397
204,2527
204,3062
204,3347
204,3406
228,2145
236,1054
240,1645
242,2510
248,1157
257,382
259,285
259,463
259,1089
259,3446
272,1866
284,549
284,665
284,1783
284,2630
285,532
285,2218
287,105
287,759
287,785
290,2058
303,148
303,159
303,243
303,274
303,626
303,671
303,873
303,991
303,1029
303,1243
303,2161
303,2278
303,2306
303,3374
303,3382
303,3429
303,3437
303,3452
303,3481
310,1317
310,1476
310,1556
310,3528
311,802
311,2566
313,467
315,1283
316,1866
321,36
321,528
321,705
321,1040
321,1729
321,1769
321,1935
321,2333
321,2422
325,2383
325,2987
327,705
327,1040
327,2422
327,2435
327,3156
327,3195
327,3533
335,1338
335,2486
340,231
340,238
343,851
343,1010
343,1040
343,1232
343,1347
343,2058
343,2306
343,2417
343,2686
343,2890
343,3187
343,3270
350,1484
351,888
356,673
361,636
361,735
361,877
361,1010
361,1814
361,1818
