PaperId,Category
768,cs.CL
769,cs.CL
770,cs.CL
771,cs.CL
772,cs.CL
773,cs.CL
774,cs.CL
775,cs.CL
776,cs.CL
778,cs.CL
779,cs.CL
780,cs.CL
781,cs.CL
782,cs.CL
783,cs.CL
785,cs.CL
787,cs.CL
788,cs.CL
790,cs.CL
791,cs.CL
792,cs.CL
793,cs.CL
794,cs.CL
795,cs.CL
796,cs.CL
797,cs.CL
798,cs.CL
799,cs.CL
800,cs.CL
801,cs.CL
802,cs.CL
803,cs.CL
804,cs.CL
805,cs.CL
806,cs.CL
807,cs.CL
808,cs.CL
809,cs.CL
810,cs.CL
811,cs.CL
812,cs.CL
813,cs.CL
814,cs.CL
815,cs.CL
816,cs.CL
817,cs.CL
818,cs.CL
819,cs.CL
820,cs.CL
821,cs.CL
822,cs.CL
823,cs.CL
824,cs.CL
825,cs.CL
826,cs.CL
828,cs.CL
829,cs.CL
830,cs.CL
831,cs.CL
832,cs.CL
833,cs.CL
834,cs.CL
835,cs.CL
836,cs.CL
837,cs.CL
838,cs.CL
839,cs.CL
840,cs.CL
841,cs.CL
842,cs.CL
843,cs.CL
844,cs.CL
845,cs.CL
846,cs.CL
848,cs.CL
849,cs.CL
850,cs.CL
851,cs.CL
852,cs.CL
853,cs.CL
854,cs.CL
855,cs.CL
856,cs.CL
858,cs.CL
859,cs.CL
860,cs.CL
861,cs.CL
862,cs.CL
863,cs.CL
864,cs.CL
865,cs.CL
866,cs.CL
867,cs.CL
868,cs.CL
869,cs.CL
870,cs.CL
871,cs.CL
872,cs.CL
873,cs.CL
874,cs.CL
876,cs.CL
877,cs.CL
878,cs.CL
879,cs.CL
880,cs.CL
881,cs.CL
883,cs.CL
884,cs.CL
885,cs.CL
886,cs.CL
887,cs.CL
888,cs.CL
889,cs.CL
890,cs.CL
891,cs.CL
894,cs.CL
895,cs.CL
896,cs.CL
897,cs.CL
898,cs.CL
899,cs.CL
900,cs.CL
901,cs.CL
902,cs.CL
903,cs.CL
904,cs.CL
905,cs.CL
906,cs.CL
907,cs.CL
908,cs.CL
909,cs.CL
910,cs.CL
911,cs.CL
912,cs.CL
913,cs.CL
914,cs.CL
915,cs.CL
916,cs.CL
917,cs.CL
918,cs.CL
919,cs.CL
920,cs.CL
921,cs.CL
924,cs.CL
925,cs.CL
926,cs.CL
927,cs.CL
928,cs.CL
929,cs.CL
930,cs.CL
931,cs.CL
932,cs.CL
933,cs.CL
934,cs.CL
935,cs.CL
936,cs.CL
937,cs.CL
938,cs.CL
940,cs.CL
941,cs.CL
942,cs.CL
943,cs.CL
944,cs.CL
945,cs.CL
946,cs.CL
947,cs.CL
948,cs.CL
950,cs.CL
951,cs.CL
952,cs.CL
953,cs.CL
954,cs.CL
955,cs.CL
956,cs.CL
957,cs.CL
958,cs.CL
959,cs.CL
960,cs.CL
961,cs.CL
962,cs.CL
963,cs.CL
964,cs.CL
965,cs.CL
966,cs.CL
967,cs.CL
968,cs.CL
969,cs.CL
970,cs.CL
971,cs.CL
972,cs.CL
973,cs.CL
974,cs.CL
975,cs.CL
976,cs.CL
977,cs.CL
978,cs.CL
979,cs.CL
980,cs.CL
981,cs.CL
982,cs.CL
983,cs.CL
984,cs.CL
985,cs.CL
986,cs.CL
987,cs.CL
988,cs.CL
989,cs.CL
990,cs.CL
991,cs.CL
992,cs.CL
994,cs.CL
995,cs.CL
996,cs.CL
997,cs.CL
999,cs.CL
1000,cs.CL
1001,cs.CL
1002,cs.CL
1003,cs.CL
1004,cs.CL
1005,cs.CL
1006,cs.CL
1007,cs.CL
1008,cs.CL
1010,cs.CL
1011,cs.CL
1012,cs.CL
1013,cs.CL
1014,cs.CL
1015,cs.CL
1016,cs.CL
1017,cs.CL
1018,cs.CL
1019,cs.CL
1020,cs.CL
1021,cs.CL
1022,cs.CL
1023,cs.CL
1024,cs.CL
1025,cs.CL
1026,cs.CL
1027,cs.CL
1028,cs.CL
1029,cs.CL
1030,cs.CL
1031,cs.CL
1032,cs.CL
1033,cs.CL
1034,cs.CL
1035,cs.CL
1036,cs.CL
1037,cs.CL
1038,cs.CL
1039,cs.CL
1040,cs.CL
1041,cs.CL
1042,cs.CL
1043,cs.CL
1044,cs.CL
1045,cs.CL
1046,cs.CL
1047,cs.CL
1048,cs.CL
1049,cs.CL
1050,cs.CL
1051,cs.CL
1052,cs.CL
1053,cs.CL
1054,cs.CL
1055,cs.CL
1060,cs.CL
1061,cs.CL
1064,cs.CL
1065,cs.CL
1066,cs.CL
1068,cs.CL
1069,cs.CL
1071,cs.CL
1073,cs.CL
1074,cs.CL
1075,cs.CL
1076,cs.CL
1077,cs.CL
1078,cs.CL
1079,cs.CL
1080,cs.CL
1081,cs.CL
1082,cs.CL
1083,cs.CL
1084,cs.CL
1085,cs.CL
1086,cs.CL
1087,cs.CL
1088,cs.CL
1089,cs.CL
1090,cs.CL
1092,cs.CL
1093,cs.CL
1094,cs.CL
1095,cs.CL
1096,cs.CL
1097,cs.CL
1098,cs.CL
1099,cs.CL
1100,cs.CL
1101,cs.CL
1102,cs.CL
1103,cs.CL
1105,cs.CL
1106,cs.CL
1107,cs.CL
1108,cs.CL
1109,cs.CL
1110,cs.CL
1112,cs.CL
1113,cs.CL
1114,cs.CL
1115,cs.CL
1116,cs.CL
1117,cs.CL
1118,cs.CL
1119,cs.CL
1120,cs.CL
1121,cs.CL
1122,cs.CL
1123,cs.CL
1124,cs.CL
1125,cs.CL
1126,cs.CL
1127,cs.CL
1128,cs.CL
1129,cs.CL
1130,cs.CL
1131,cs.CL
1132,cs.CL
1133,cs.CL
1134,cs.CL
1135,cs.CL
1136,cs.CL
1137,cs.CL
1138,cs.CL
1139,cs.CL
1140,cs.CL
1141,cs.CL
1142,cs.CL
1143,cs.CL
1144,cs.CL
1145,cs.CL
1146,cs.CL
1147,cs.CL
1148,cs.CL
1149,cs.CL
1150,cs.CL
1151,cs.CL
1152,cs.CL
1153,cs.CL
1154,cs.CL
1155,cs.CL
1156,cs.CL
1157,cs.CL
1158,cs.CL
1159,cs.CL
1160,cs.CL
1161,cs.CL
1162,cs.CL
1163,cs.CL
1164,cs.CL
1165,cs.CL
1166,cs.CL
1167,cs.CL
1168,cs.CL
1169,cs.CL
1170,cs.CL
1171,cs.CL
1172,cs.CL
1173,cs.CL
1174,cs.CL
1175,cs.CL
1176,cs.CL
1177,cs.CL
1178,cs.CL
1179,cs.CL
1180,cs.CL
1181,cs.CL
1186,cs.CL
1190,cs.CL
1191,cs.CL
1192,cs.CL
1193,cs.CL
1194,cs.CL
1195,cs.CL
1196,cs.CL
1197,cs.CL
1198,cs.CL
1199,cs.CL
1200,cs.CL
1201,cs.CL
1202,cs.CL
1203,cs.CL
1204,cs.CL
1205,cs.CL
1206,cs.CL
1207,cs.CL
1208,cs.CL
1209,cs.CL
1210,cs.CL
1211,cs.CL
1212,cs.CL
1213,cs.CL
1214,cs.CL
1215,cs.CL
1217,cs.CL
1218,cs.CL
1219,cs.CL
1221,cs.CL
1222,cs.CL
1223,cs.CL
1224,cs.CL
1225,cs.CL
1226,cs.CL
1227,cs.CL
1229,cs.CL
1230,cs.CL
1231,cs.CL
1232,cs.CL
1233,cs.CL
1234,cs.CL
1235,cs.CL
1236,cs.CL
1240,cs.CL
1242,cs.CL
1243,cs.CL
1245,cs.CL
1246,cs.CL
1247,cs.CL
1248,cs.CL
1249,cs.CL
1250,cs.CL
1251,cs.CL
1252,cs.CL
1254,cs.CL
1256,cs.CL
1257,cs.CL
1259,cs.CL
1261,cs.CL
1262,cs.CL
1263,cs.CL
1264,cs.CL
1265,cs.CL
1266,cs.CL
1267,cs.CL
1268,cs.CL
1269,cs.CL
1271,cs.CL
1272,cs.CL
1276,cs.CL
1277,cs.CL
1280,cs.CL
